ID Cliente,Data Venda,ID Produto,Preço Produto
78,20/02/2024,156,662.48
46,11/04/2023,33,77.17
118,08/11/2023,87,965.71
183,14/07/2023,144,836.6
195,08/02/2024,64,641.0
187,17/09/2023,66,105.29
98,09/01/2023,172,947.49
107,26/06/2023,32,15.68
47,15/03/2024,190,46.49
105,04/01/2023,66,433.27
194,12/01/2023,65,678.47
39,18/02/2023,168,536.08
64,24/07/2023,56,274.24
14,08/04/2024,32,446.25
105,12/04/2024,65,97.94
9,09/07/2023,6,810.13
104,11/01/2024,131,42.2
5,25/03/2024,64,119.34
121,13/04/2024,65,921.98
169,02/01/2023,87,40.58
8,18/03/2023,32,913.32
68,10/03/2024,32,790.6
198,15/02/2024,39,307.11
98,23/08/2023,159,157.48
88,27/07/2023,163,878.26
64,11/10/2023,148,832.12
106,04/08/2023,10,767.6
84,09/10/2023,14,640.79
105,01/07/2023,35,354.79
55,10/05/2023,87,600.8
100,29/05/2023,37,692.96
78,18/11/2023,87,179.7
35,03/03/2023,64,745.33
98,28/01/2024,146,379.85
2,19/07/2023,107,605.4
81,04/06/2023,64,606.53
142,10/07/2023,61,317.76
78,11/01/2023,32,637.27
163,11/05/2023,97,181.63
144,05/02/2024,113,430.18
75,01/01/2024,195,477.29
67,05/04/2023,134,233.22
67,13/06/2023,75,15.79
190,26/07/2023,65,902.69
104,03/03/2024,65,521.51
35,14/02/2024,66,161.01
98,17/06/2023,66,45.92
44,15/07/2023,166,689.34
33,10/02/2023,64,452.42
88,30/01/2024,12,26.05
70,05/03/2024,106,580.38
185,03/10/2023,82,210.03
7,05/03/2023,65,174.86
99,05/01/2024,4,202.93
45,17/11/2023,32,712.09
89,21/06/2023,32,883.07
6,02/04/2024,97,492.56
47,09/02/2023,195,52.66
64,08/10/2023,66,940.89
106,26/12/2023,97,34.7
98,05/12/2023,65,793.56
99,12/05/2023,178,434.3
191,15/02/2023,64,952.35
75,22/11/2023,166,846.96
131,29/01/2023,32,840.57
51,15/08/2023,97,998.04
76,05/04/2023,65,933.92
191,28/05/2023,127,676.23
98,02/03/2024,64,745.93
99,14/01/2023,79,686.94
113,31/05/2023,66,282.46
111,21/08/2023,75,839.98
99,07/02/2024,66,739.06
100,16/01/2024,65,676.64
80,13/05/2023,142,533.91
184,15/11/2023,32,338.12
65,23/03/2024,66,345.9
59,10/01/2023,143,856.8
44,22/01/2024,66,67.96
67,10/01/2024,66,75.21
45,01/10/2023,150,258.3
98,23/10/2023,165,104.2
106,08/03/2023,16,368.2
78,25/10/2023,136,15.04
79,26/07/2023,43,588.78
153,17/06/2023,10,40.08
125,08/03/2024,34,272.79
150,04/02/2023,65,360.37
99,27/07/2023,80,952.51
100,12/03/2023,66,461.53
46,26/11/2023,99,594.47
184,18/08/2023,59,851.77
87,25/04/2023,14,138.09
65,31/08/2023,64,908.38
12,27/03/2024,119,942.59
105,25/03/2024,90,634.74
42,10/06/2023,46,43.58
67,10/09/2023,160,905.65
106,11/02/2023,199,435.87
68,13/03/2024,187,529.14
173,18/03/2024,188,516.17
106,14/06/2023,1,452.49
161,22/03/2024,97,545.9
102,16/07/2023,97,886.39
64,24/06/2023,64,476.05
33,08/04/2023,32,956.22
65,09/09/2023,97,531.26
39,14/04/2023,135,427.81
68,18/03/2023,97,783.69
13,15/03/2023,157,42.54
105,27/12/2023,14,504.84
121,15/02/2023,32,335.16
151,24/01/2023,64,649.94
166,22/11/2023,32,310.68
75,04/02/2023,32,694.84
35,09/12/2023,66,309.11
106,06/12/2023,90,373.58
6,24/05/2023,10,282.61
52,24/12/2023,165,251.12
104,02/04/2024,32,799.62
98,29/01/2024,4,428.57
96,07/03/2024,152,757.26
67,25/08/2023,63,25.84
123,13/08/2023,65,309.8
98,03/05/2023,32,429.93
41,14/12/2023,66,689.33
64,30/03/2023,187,558.12
60,31/03/2024,87,345.63
97,07/05/2023,38,995.53
4,04/03/2024,96,744.13
46,10/03/2024,32,553.89
189,22/04/2024,97,224.0
68,19/12/2023,66,619.5
91,15/11/2023,64,198.16
51,06/10/2023,151,93.66
98,21/01/2024,87,859.71
6,16/01/2023,157,504.9
103,20/04/2024,64,125.69
191,09/07/2023,65,740.13
68,20/01/2024,191,802.93
86,16/04/2023,64,400.79
83,10/04/2024,26,462.14
31,16/11/2023,27,132.95
87,26/01/2023,87,778.02
64,18/02/2023,97,772.0
75,29/12/2023,97,809.44
34,01/02/2023,98,884.39
182,04/09/2023,65,767.16
165,01/10/2023,65,988.94
45,03/11/2023,40,911.33
78,21/08/2023,53,795.41
98,13/03/2024,97,682.72
110,12/02/2023,68,238.74
50,11/09/2023,138,969.7
100,20/01/2024,120,248.4
190,01/03/2023,66,940.29
106,19/01/2024,59,247.48
105,21/04/2024,97,803.37
98,01/06/2023,65,856.6
194,26/12/2023,65,202.59
46,16/07/2023,64,512.52
145,01/03/2024,97,313.82
174,19/03/2024,66,249.26
99,03/11/2023,92,42.76
98,06/05/2023,194,944.26
91,04/08/2023,87,454.69
108,18/01/2024,136,547.5
21,24/09/2023,32,351.93
84,06/09/2023,64,920.89
168,18/11/2023,65,576.86
200,12/05/2023,97,241.91
31,09/11/2023,93,352.41
160,27/02/2023,87,115.68
36,04/03/2024,63,730.49
78,24/04/2024,32,420.33
52,30/09/2023,125,286.44
104,25/09/2023,105,820.36
190,04/01/2024,64,802.27
15,01/05/2023,65,381.27
88,01/12/2023,47,159.51
140,02/01/2024,66,601.54
98,02/01/2023,42,796.98
21,23/11/2023,128,794.02
88,13/01/2023,160,734.4
65,05/12/2023,97,482.66
8,26/02/2023,66,269.9
90,27/01/2023,87,629.76
75,17/08/2023,19,803.69
135,02/01/2023,66,73.11
88,05/03/2023,84,433.16
179,30/03/2024,101,655.86
193,24/02/2024,32,175.3
88,11/03/2024,65,130.9
104,07/10/2023,87,153.73
165,10/09/2023,65,189.22
45,08/04/2023,23,178.21
105,03/10/2023,26,122.9
178,10/05/2023,86,880.08
45,31/03/2023,72,94.68
88,14/02/2023,66,653.73
7,03/03/2024,64,21.54
95,25/11/2023,66,743.67
98,29/01/2024,97,599.88
72,08/04/2024,90,714.26
99,19/12/2023,66,914.16
105,08/01/2024,87,60.22
65,05/02/2024,42,537.36
132,16/11/2023,66,794.52
99,16/01/2024,66,941.99
142,21/01/2023,117,798.92
78,04/12/2023,134,456.63
68,13/01/2024,190,977.64
41,10/01/2024,66,133.36
98,12/08/2023,32,137.13
99,11/01/2024,43,918.21
78,29/04/2023,65,263.03
5,11/03/2024,87,200.9
72,18/06/2023,125,944.97
64,14/06/2023,32,464.7
67,01/12/2023,32,641.31
79,20/04/2023,4,199.07
20,25/07/2023,32,661.21
34,09/01/2024,97,178.42
68,13/10/2023,14,566.61
161,26/02/2024,151,305.55
140,11/04/2023,170,732.45
155,03/04/2023,65,448.68
75,20/04/2023,66,833.62
98,27/04/2023,194,371.54
108,06/03/2023,64,783.51
88,13/01/2023,43,513.5
68,17/01/2023,60,857.57
99,06/10/2023,64,66.82
169,13/01/2023,163,295.38
30,08/08/2023,42,854.91
102,27/03/2023,32,611.11
33,27/04/2023,31,223.37
30,16/06/2023,65,998.7
64,07/12/2023,186,263.31
108,14/11/2023,107,27.73
106,16/10/2023,66,571.11
118,09/02/2024,24,21.32
114,04/07/2023,57,289.86
64,27/01/2024,87,345.78
61,14/04/2023,65,919.04
64,20/04/2024,32,212.68
68,18/12/2023,28,522.13
45,19/10/2023,104,647.23
142,08/07/2023,29,931.78
64,01/02/2023,155,769.64
45,02/08/2023,32,380.59
111,03/08/2023,65,610.78
22,23/03/2023,185,915.58
51,21/03/2024,180,900.62
99,11/12/2023,65,961.49
66,31/12/2023,32,645.98
98,24/04/2023,127,951.63
26,03/02/2023,103,550.8
45,22/01/2023,92,232.63
98,27/02/2023,80,131.72
78,18/04/2024,32,891.14
178,06/04/2024,32,819.68
104,15/03/2023,64,281.79
81,03/05/2023,97,876.65
98,29/01/2024,87,260.07
105,01/06/2023,32,721.83
106,01/06/2023,66,278.22
146,14/12/2023,54,137.99
64,29/01/2024,66,828.98
73,19/02/2024,64,918.02
68,10/04/2023,97,799.78
68,23/04/2023,183,664.54
113,26/11/2023,64,560.36
35,26/01/2023,66,176.9
35,20/02/2023,168,557.73
98,26/01/2024,97,987.7
110,17/11/2023,116,500.69
171,15/03/2023,32,741.45
7,25/05/2023,66,674.99
98,10/02/2024,64,684.2
104,31/01/2024,32,510.79
35,21/02/2023,97,358.86
65,26/11/2023,66,830.37
105,04/06/2023,65,731.39
131,14/02/2024,32,890.84
99,23/02/2023,82,723.57
35,26/02/2024,97,199.09
177,01/02/2024,164,523.25
157,22/11/2023,87,287.28
121,23/01/2023,81,15.61
153,18/10/2023,66,801.96
53,03/12/2023,87,415.24
106,04/08/2023,11,755.67
80,09/03/2024,184,443.62
13,14/07/2023,97,917.65
135,21/04/2024,102,463.07
75,15/03/2024,30,385.65
78,17/10/2023,90,540.33
168,30/09/2023,168,38.75
78,05/02/2023,99,578.17
98,19/02/2023,87,885.14
94,26/01/2023,29,256.19
15,17/07/2023,189,555.87
46,24/10/2023,5,533.09
68,14/05/2023,64,735.55
88,08/09/2023,97,980.42
98,14/01/2023,131,950.5
100,05/06/2023,93,105.46
41,31/07/2023,97,146.46
32,01/05/2023,33,412.12
34,19/04/2024,65,446.02
67,21/02/2023,62,371.9
115,26/03/2023,87,51.47
87,01/03/2023,64,314.13
104,26/05/2023,136,432.84
186,08/09/2023,87,169.91
98,29/02/2024,147,185.27
98,20/03/2024,65,452.37
99,31/10/2023,117,894.12
45,31/12/2023,97,804.35
99,27/02/2024,12,637.19
97,19/01/2024,159,421.04
89,23/03/2024,194,38.41
106,28/11/2023,42,414.89
142,10/01/2024,28,604.81
188,18/07/2023,65,500.98
98,15/04/2024,199,426.63
70,15/04/2024,64,335.76
35,15/03/2023,65,13.44
42,03/06/2023,175,299.92
107,01/09/2023,84,778.81
53,04/01/2023,64,38.28
34,23/04/2023,32,945.32
41,29/03/2024,187,714.61
196,19/11/2023,126,177.58
22,30/11/2023,25,809.65
88,08/01/2024,32,801.47
53,19/08/2023,97,902.5
88,14/07/2023,46,551.23
183,25/07/2023,173,367.18
111,06/08/2023,119,390.54
75,27/07/2023,97,595.55
35,10/07/2023,53,345.14
104,04/09/2023,66,70.69
155,10/08/2023,66,119.05
117,01/12/2023,64,304.18
67,14/03/2024,64,232.26
137,23/05/2023,32,85.25
92,20/04/2023,64,430.62
167,21/10/2023,136,529.99
26,15/02/2023,97,652.95
98,10/06/2023,32,32.55
164,17/02/2023,131,315.88
105,01/04/2024,64,81.9
88,29/03/2024,65,219.62
73,23/01/2024,66,158.62
88,28/10/2023,16,811.52
104,03/02/2024,58,587.26
186,06/10/2023,66,936.68
68,31/07/2023,66,863.58
26,07/06/2023,87,665.67
176,29/02/2024,66,268.58
23,20/04/2024,87,411.54
178,06/02/2023,64,188.2
185,05/06/2023,32,514.34
78,03/11/2023,146,807.66
164,21/09/2023,87,336.3
75,14/03/2023,66,442.82
190,26/01/2023,40,489.45
98,16/04/2024,141,946.64
38,04/01/2024,65,725.6
149,13/05/2023,97,991.08
46,16/08/2023,65,662.61
160,09/06/2023,32,936.13
139,16/11/2023,134,881.76
60,25/08/2023,66,369.68
109,16/05/2023,66,312.77
21,23/06/2023,21,160.6
78,09/12/2023,150,972.79
144,12/06/2023,55,265.78
133,24/05/2023,87,963.72
99,03/11/2023,178,787.83
55,12/06/2023,32,704.35
106,02/02/2024,39,391.31
98,28/11/2023,13,115.44
189,07/08/2023,32,346.43
102,29/05/2023,66,283.02
199,24/01/2023,87,175.29
132,27/04/2024,65,213.14
155,11/11/2023,76,911.25
98,28/11/2023,32,427.23
65,22/10/2023,32,104.68
34,20/01/2024,89,463.88
45,21/02/2024,1,105.7
88,05/03/2024,66,684.83
35,24/05/2023,87,957.12
98,10/05/2023,149,813.69
88,05/05/2023,66,641.98
141,27/04/2024,64,800.15
27,10/07/2023,32,571.44
35,24/11/2023,130,38.61
63,08/02/2023,170,52.38
40,05/09/2023,64,769.08
104,27/07/2023,66,626.01
36,06/07/2023,91,333.94
33,21/10/2023,112,855.96
171,03/03/2024,64,821.26
67,14/07/2023,66,697.57
46,27/03/2024,141,693.3
186,10/01/2024,97,509.46
105,02/03/2024,66,207.03
64,11/05/2023,32,617.83
137,15/05/2023,87,667.17
98,11/02/2023,65,308.55
62,10/02/2024,87,554.68
120,21/10/2023,64,788.17
105,17/08/2023,95,150.79
136,26/12/2023,97,640.19
74,15/12/2023,173,751.42
121,17/09/2023,47,209.91
98,06/01/2024,86,327.6
80,24/04/2024,87,238.06
78,25/05/2023,64,125.61
135,10/11/2023,65,801.18
99,23/04/2024,178,71.94
114,10/04/2023,96,497.53
18,14/04/2023,91,755.74
3,12/10/2023,97,581.12
139,16/12/2023,199,696.07
67,13/04/2023,11,364.22
96,10/02/2023,49,637.26
68,26/01/2023,42,116.24
75,28/08/2023,32,863.4
78,05/05/2023,17,439.53
65,09/07/2023,14,588.08
76,17/03/2023,134,689.69
105,13/02/2024,65,878.11
21,02/06/2023,163,879.29
161,10/04/2023,129,411.76
88,10/11/2023,97,277.6
73,24/04/2024,39,986.85
70,12/03/2023,146,466.78
53,27/04/2023,64,111.1
76,30/03/2023,15,836.59
99,06/03/2024,32,169.1
63,29/09/2023,128,924.2
1,10/11/2023,87,344.07
41,11/11/2023,36,283.3
78,10/03/2023,87,131.55
1,13/01/2024,51,826.79
65,07/01/2024,65,804.74
84,13/04/2023,65,296.13
88,11/02/2024,193,538.08
98,27/06/2023,185,339.47
140,25/02/2024,32,21.67
173,01/09/2023,87,157.46
123,05/10/2023,87,538.58
64,21/10/2023,173,862.7
166,17/03/2023,87,964.7
67,29/01/2023,97,328.94
88,27/09/2023,66,779.71
65,29/11/2023,65,738.85
21,16/02/2024,64,807.43
104,02/12/2023,197,675.93
105,02/10/2023,158,679.28
78,31/05/2023,97,837.54
68,30/11/2023,9,808.76
105,27/03/2023,131,859.96
128,16/08/2023,87,559.59
88,29/04/2024,130,828.41
135,07/01/2024,97,390.1
17,27/01/2024,64,159.02
85,25/01/2023,65,717.58
83,15/11/2023,32,324.15
106,21/12/2023,66,362.53
179,05/03/2023,165,392.02
78,05/11/2023,183,511.86
24,02/06/2023,64,264.59
76,18/10/2023,9,229.49
172,18/07/2023,133,559.3
112,18/08/2023,64,65.78
103,03/03/2024,51,497.61
185,13/12/2023,32,945.76
51,29/04/2024,165,803.7
9,17/09/2023,65,129.59
64,27/03/2024,124,682.39
99,25/06/2023,197,351.64
45,13/01/2024,105,312.67
83,25/01/2024,115,815.64
48,18/02/2024,175,226.5
105,25/07/2023,146,595.93
179,14/05/2023,97,396.18
67,20/04/2024,64,424.83
45,18/02/2023,1,623.51
19,11/02/2024,32,263.9
20,28/03/2023,141,821.57
183,17/11/2023,64,340.04
105,05/08/2023,16,599.6
88,20/02/2024,64,856.48
98,18/04/2023,32,556.9
77,02/03/2024,87,971.76
64,21/04/2024,97,379.3
191,03/09/2023,121,137.12
94,04/10/2023,77,351.48
185,21/01/2024,151,392.03
98,04/01/2024,97,667.9
135,07/08/2023,176,573.72
105,15/04/2024,66,464.2
88,16/07/2023,87,932.44
34,30/01/2024,157,388.19
158,05/03/2024,97,545.19
36,06/10/2023,32,401.58
68,24/03/2023,28,619.8
34,14/07/2023,64,761.31
137,11/04/2024,87,665.67
82,18/10/2023,93,27.04
109,11/02/2023,8,73.94
191,28/12/2023,65,90.5
177,08/04/2023,65,363.89
65,21/01/2023,97,266.48
104,16/12/2023,97,25.79
67,17/09/2023,65,378.41
56,22/09/2023,134,754.01
64,28/06/2023,87,554.86
78,14/04/2023,51,976.95
119,20/10/2023,65,654.18
191,14/02/2023,49,247.69
89,25/07/2023,97,357.13
165,07/11/2023,32,522.89
89,10/03/2023,163,57.96
34,18/01/2024,32,127.28
2,30/01/2024,32,836.93
95,05/01/2024,65,197.87
99,30/10/2023,165,673.06
79,06/03/2023,87,426.37
65,19/02/2024,97,574.96
109,01/01/2023,9,450.14
27,15/09/2023,39,376.39
143,21/06/2023,147,861.15
22,04/03/2024,66,557.31
61,02/09/2023,8,131.89
99,29/04/2024,57,656.86
71,13/01/2024,74,488.83
106,16/03/2024,43,598.67
7,04/04/2024,64,142.6
184,03/03/2023,162,416.73
113,21/09/2023,180,296.92
23,27/04/2023,185,232.65
15,27/01/2023,12,52.73
29,24/07/2023,64,744.32
137,30/06/2023,87,689.35
106,19/08/2023,87,357.64
29,16/03/2023,97,618.94
98,07/10/2023,52,636.27
57,02/10/2023,64,78.83
104,11/01/2024,66,705.39
105,09/02/2023,33,985.46
75,09/04/2023,66,950.07
68,21/03/2023,111,245.66
17,22/06/2023,7,497.81
88,03/11/2023,56,289.55
34,09/04/2023,66,323.2
34,08/09/2023,66,566.71
99,18/06/2023,65,882.68
105,06/01/2024,93,722.98
120,02/04/2024,187,555.61
98,29/08/2023,68,307.43
63,22/04/2024,32,773.17
58,19/11/2023,14,817.48
74,07/07/2023,65,666.32
78,08/04/2024,64,186.16
24,30/10/2023,158,656.63
62,26/07/2023,66,84.73
118,04/11/2023,32,244.25
30,22/02/2024,86,533.17
47,03/01/2023,32,412.49
125,26/03/2023,66,580.9
